Rep	Fold	Trait	Cor
1	2	20KernelWeight	0.285133081897417
2	2	20KernelWeight	0.363357155341625
1	2	CobDiameter	0.296672687727833
2	2	CobDiameter	0.344528197845126
1	2	CobWeight	0.354406029629207
2	2	CobWeight	0.393800128095882
1	2	DaystoSilk	0.722646559940613
2	2	DaystoSilk	0.735922280788771
1	2	DaysToTassel	0.75419226236072
2	2	DaysToTassel	0.74270818642844
1	2	EarDiameter	0.400895722804299
2	2	EarDiameter	0.434779181621967
1	2	EarHeight	0.548193342881242
2	2	EarHeight	0.510413593830472
1	2	EarLength	0.22254479501641
2	2	EarLength	-0.147097712270156
1	2	EarRankNumber	0.101071251153574
2	2	EarRankNumber	0.105659035817428
1	2	EarRowNumber	0.314370952336289
2	2	EarRowNumber	0.172785898422389
1	2	EarWeight	0.417396159676928
2	2	EarWeight	0.42084143890519
1	2	GDDAnthesis-SilkingInterval	0.105236048947693
2	2	GDDAnthesis-SilkingInterval	0.0774361049894966
1	2	GDDDaystoSilk	0.692730675573473
2	2	GDDDaystoSilk	0.665606564213296
1	2	GDDDaystoTassel	0.712272192020203
2	2	GDDDaystoTassel	0.744054063851612
1	2	GerminationCount	0.17240693353048
2	2	GerminationCount	0.111485856818857
1	2	LeafLength	0.674046553095353
2	2	LeafLength	0.629833224983499
1	2	LeafWidth	0.521135441033166
2	2	LeafWidth	0.474300853619608
1	2	MainSpikeLength	0.19421712445868
2	2	MainSpikeLength	0.194020958078674
1	2	MiddleLeafAngle	0.338470203636464
2	2	MiddleLeafAngle	0.318644555941007
1	2	NIROil	0.401212356561993
2	2	NIROil	0.439858371867993
1	2	NIRProtein	0.312897787753092
2	2	NIRProtein	0.264448625642185
1	2	NIRStarch	0.171232083827955
2	2	NIRStarch	0.241859890335873
1	2	PlantHeight	0.363522564701736
2	2	PlantHeight	0.418035543500542
1	2	RowQuality	0.0697286139568295
2	2	RowQuality	0.0656431018836324
1	2	SecondaryBranchNumber	0.464320415480551
2	2	SecondaryBranchNumber	0.476985912163782
1	2	SeedSetLength	0.0901710104958803
2	2	SeedSetLength	0.194402679739433
1	2	SouthernLeafBlight	0.600825482347776
2	2	SouthernLeafBlight	0.623183007543696
1	2	Spikelets-MainSpike	0.277087956688245
2	2	Spikelets-MainSpike	0.226106828381578
1	2	Spikelets-PrimaryBranch	0.235989856196448
2	2	Spikelets-PrimaryBranch	0.193497428082483
1	2	StandCount	-0.0397551642811549
2	2	StandCount	-0.0396580425630934
1	2	TasselBranchLength	0.318941042649232
2	2	TasselBranchLength	0.406878334071831
1	2	TasselLength	0.380541639137176
2	2	TasselLength	0.327291672596531
1	2	TasselPrimaryBranches	0.511525872648822
2	2	TasselPrimaryBranches	0.452953185851255
1	2	TilleringIndex	0.102868635485287
2	2	TilleringIndex	0.222525680912629
1	2	TotalKernelVolume	0.0545004586169113
2	2	TotalKernelVolume	0.00740061605145142
1	2	UpperLeafAngle	0.485509672197988
2	2	UpperLeafAngle	0.558254344934549
